"Name","Host_name","Area","Price/night($)"
"* Spacious GARDEN Park Slope Duplex* 6 people max","Syl","Brooklyn","250"
"Convenient cozy cheap apt Manhattan","Lorenzo","Manhattan","80"
"Parlor Room In Victorian Townhouse","Waldemar","Brooklyn","70"
"House On Henry (2nd FLR Suite)","Annette","Brooklyn","165"
"New York room with a view","Newyorkroomwithaview","Staten Island","70"
"Sunny cozy room in Brklyn townhouse","Tessa","Brooklyn","50"
"Room with a View","Waundell","Bronx","40"
"Light+Open+Airy+Rustic+Modern Loft","Young","Brooklyn","150"
"West Inn 2 - East Village","Bruce","Manhattan","125"
"Financial District Luxury Loft","Coral","Manhattan","196"
"BROOKLYN VICTORIAN STYLE SUITE.....","Carol","Brooklyn","110"
"Your own Lovely West Village Studio","Sara","Manhattan","170"
"ACCOMMODATIONS GALORE#3. 1-5 GUESTS","Laurine","Manhattan","165"
"Greenwich Village Stylish Apartment","Myrna","Manhattan","150"
"Clean and Cozy Harlem Apartment","Campbell","Manhattan","100"
"Fort Greene, Brooklyn: Center Bedroom","Doug","Brooklyn","65"
"Beautiful Queens Brownstone! - 5BR","Mark","Queens","350"
"Couldn't Be Closer To Columbia Uni","Rahul","Manhattan","99"
"Bright Spacious Luxury Condo","Miyoung","Brooklyn","200"
"Park Slope haven 15 mins from Soho","Monica","Brooklyn","150"
"SAFE  AND BEAUTIFUL ACCOMODATION","Marylyn","Brooklyn","90"
"Large Room in private Brownstone in Park Slope","Kathleen R.","Brooklyn","120"
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)","Teresa","Manhattan","75"
"LARGE, COMFY 1BDR W/CHARACTER!!!","Robert","Brooklyn","175"
"Chelsea Studio sublet 1 - 2 months","Alex","Manhattan","125"
"LUX APT IN TIMES SQUARE NEW BUILDING","Claudia","Manhattan","275"
"Designer 1 BR Duplex w/ Terrace- Spectacular Views","Shane","Manhattan","299"
"Lovely Apt & Garden;  Legal;  Best Area; Amenities","Laurie","Brooklyn","135"
"1 Bedroom in 2 Bdrm Apt- Upper East","Jessica","Manhattan","130"
"Lower East Side $57~/night","Erina","Manhattan","83"
"Prime Location in Manhattan","Lee","Manhattan","123"
"( F) Excellent/Pvt Rm","Jullett","Queens","55"
"Quiet, sunny Midtown Manhattan apt.","Marlaine","Manhattan","195"
"Big Room/Washer-Dryer/Wifi/AC/JMZ","Charlotte","Brooklyn","80"
"cozy studio with parking spot","Mark","Queens","98"
"Clean and convenient 2BR apartment","Mark","Queens","140"
"3 floors of luxury!","Mark","Queens","265"
"The Instituteâ€”Heart of Williamsburg","Bob","Brooklyn","249"
"MIDTOWN WEST - Large alcove studio","Anka","Manhattan","105"
"Beautiful Uptown Manhattan apartmnt","Douglas","Manhattan","200"
"Sml Rm in pr Brst  Park Sl great for Med/students","Kathleen R.","Brooklyn","100"
"City Room - Private Penthouse Apt.","Wayne","Manhattan","121"
"Cozy bedroom by Yankee Stadium","Waundell","Bronx","45"
"Great apartment with private bathroom and entrance","Jenny","Manhattan","100"
"Private Garden Apt â€¢ New Renovation","Paul","Brooklyn","140"
"Modern comfort in art infused landmark Brownstone","Tami","Brooklyn","71"
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH","Jason","Manhattan","130"
"Sleek & Comfortable Soho Apt","Pete","Manhattan","199"
"Spacious Williamsburg Share w/ LOFT BED","Gus","Brooklyn","69"
"Cozy 2 br in sunny Fort Greene apt","Sally","Brooklyn","68"
"Cozy East Village Railroad 1 Bed!","Leonardo","Manhattan","130"
"1 Bedroom Loft w/ Private Roof Deck","Alex","Brooklyn","195"
"City Room - Private & Comfy Bedroom","Wayne","Manhattan","64"
"Elegant NYC Pad","Vasili","Queens","140"
"Clean & bright 1BR in Cobble Hill, GREAT location!","S.M.","Brooklyn","159"
"Modern, Large East Village Loft","Ori","Manhattan","189"
"Great new apt, close to everything","Ana","Manhattan","250"
"Quiet & Clean Retreat in the City","I","Manhattan","239"
"Stylish Large Gramercy Loft!","R","Manhattan","305"
"The Brownstone-Luxury 1 Bd Apt/NYC","Simon","Manhattan","155"
"PRIVATE Room on Historic Sugar Hill","Agnes","Manhattan","60"
"South Slope Green","Linda","Brooklyn","135"
"17 Flr. Manhattan Views, Nr. Subway","Dave","Manhattan","120"
"Spacious 1BR, Adorable Clean Quiet","Drica","Manhattan","150"
"Nice, clean, safe, convenient 3BR","Mark","Queens","140"
"Franklin St Flat in Trendy Greenpoint Brooklyn","Betty","Brooklyn","135"
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5","Ricardo & Ashlie","Manhattan","250"
"One bedroom Apt. in NYC","Leslie","Manhattan","250"
"Beautiful, elegant 3 bed SOHO loft","Harrison","Manhattan","500"
"Spacious Greenwich Village Apt","Jessica","Manhattan","225"
"SpaHa Studio Monthly Rental","Blanca","Manhattan","125"
"City Room - Private Luxury Suite","Wayne","Manhattan","92"
"Private Room/bath Luxurious Harlem","Cynthia","Manhattan","175"
"The gem of the East Village","Mich","Manhattan","99"
"Bright and spacious, garden below!","Rachel","Manhattan","195"
"ACCOMMODATIONS GALORE #2","Laurine","Manhattan","140"
"Colorful Private One Bedroom Apt","Greta","Manhattan","135"
"Huge Chelsea Loft","Frank","Manhattan","500"
"Great room in great location","Bethania","Manhattan","80"
"Exclusive Room with Private Bath in  LES","Tunji","Manhattan","120"
"Quiet, clean midtown apt w. elevato","Anna/Fonzy","Manhattan","110"
"BK Sweet Suite w/Kitchen&FullBath","Colette&Sean","Brooklyn","65"
"Great East Village Apartment Rental","Brie","Manhattan","130"
"BROWNSTONE SUNDRENCHED BEAUTY","Sheila","Brooklyn","99"
"A SpeciaL!! Private Room in NY","Lissette","Staten Island","36"
"B NYC Staten Alternative...","Lissette","Staten Island","37"
"C Private Room By The Ferry","Lissette","Staten Island","37"
"Smallest House In The Village","Olivia","Manhattan","175"
"Beautiful modern studio apartment in heart of NYC","Daniel","Manhattan","205"
"Beautiful Landmarked Duplex","Maya","Brooklyn","285"
"BROOKLYN > Guest Room w/ Queen Bed in Williamsburg","Scott","Brooklyn","59"
"D Private Che@p Room 2 Explore NYC","Lissette","Staten Island","36"
"Safe cute near subway& Manhattan NY NY retro style","Dennis & Naoko","Queens","99"
"Large and Cozy Private Bedroom","AntonÃ­n","Brooklyn","39"
"Small tidy bedroom in duplex","Emily","Brooklyn","60"
"LL3","Carol Gloria","Bronx","90"
"DOMINIQUE'S NY mini efficiency* wifi*metro*quiet","Vie","Bronx","105"
"Private, Large & Sunny Top Floor Apt  w/W&D","RenÃ©e","Brooklyn","135"
"Cottage in the Village","Olivia","Manhattan","390"
"BEDROOM1 FOR RENT 10min from Manhan","Helene","Brooklyn","70"
"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM","Paula","Manhattan","75"
"Williamsburg near soho. / loftbed","Kristian & Di","Brooklyn","60"
"Prime East Village 1 Bedroom","David","Manhattan","200"
"BROOKLYN  STUDIO APARTMENT","Niya","Brooklyn","100"
"BEDROOM2 FOR RENT  10min from Manh","Helene","Brooklyn","70"
"cozy bedroom in lovely garden apt","Debbie","Brooklyn","110"
"Crown Heights Garden Apt.","Anthony","Brooklyn","60"
"Amazing  Sunny & Breezy Home In the Heart of  NYC","Tilly","Manhattan","90"
"ENJOY Downtown NYC!!","Edward","Manhattan","68"
"Charming UWS Treehouse Apt","Claire","Manhattan","115"
"Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn","Juhli","Brooklyn","75"
"Room in S3rd/Bedford, Williamsburg","Marlon","Brooklyn","60"
"CHARMING EAST VILLAGE 2 (or 1) BR","Mary D","Manhattan","129"
"Farmhouse Apartment in Williamsburg","Valerie","Brooklyn","130"
"Bright+Spacious Williamsburg Abode!","Larissa","Brooklyn","95"
"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt","Eric","Manhattan","75"
"Beautiful 1 Bedroom Apt Park Slope","Jessica","Brooklyn","175"
"CHARMING CARROLL GARDENS APT.","Melissa","Brooklyn","190"
"Private Bedroom Brownstone Brooklyn","Alex","Brooklyn","49"
"East Village Loft with Piano & Patio","Samir","Manhattan","212"
"Lower East Side Magic Room","Tony","Manhattan","95"
"**Fantastic Williamsburg Apt**","Luis Fernando","Brooklyn","140"
"West Harlem Home Base - Eco-Apt.","Henning","Manhattan","135"
"Charming Garden Apt in Park Slope","Stefano","Brooklyn","150"
"Lovely, Modern, Garden Apartment","Jana","Brooklyn","190"
"Central Park 1BR sunny condo","Per","Manhattan","124"
"Cozy Garden Apartment  in Williamsburg","Adrienne","Brooklyn","135"
"SoHa comfort-by NW Central Park!","Elise","Manhattan","122"
"Cozy room in Upper West Side","Deda","Manhattan","109"
"Cozy Private Room in Apartment","Share","Manhattan","85"
"The Cozy Brownstone Inn (discount)!","Naimah","Brooklyn","145"
"Prewar Penthouse w Private Terrace","Violetta","Manhattan","195"
"Designer 2.5 BR Loft in Carroll Gardens by Subway","Jenna","Brooklyn","250"
"Bright Beautiful Brooklyn","Jason","Brooklyn","125"
"Unique spacious loft on the Bowery","Alicia","Manhattan","575"
"Nice renovated apt, prime location!","Silvia","Manhattan","150"
"Brooklyn Writer's Nook","Joab","Brooklyn","70"
"Private Bedroom in Large NYC Apartment","Mary And Geoff","Manhattan","90"
"Large, Sunny Room East Village NYC","Eyal","Manhattan","65"
"Great Large 3 BR/2 Bath Duplex with Private Patio!","Bruce","Manhattan","500"
"All That Jazz. Uptown style on Sugar Hill.","Kurt","Manhattan","250"
"Bright and lovely 1 bdrm apt in LES","Jennifer","Manhattan","125"
"Beautiful One Bed West Village - 4 Month Special","Ruperto","Manhattan","200"
"Gigantic Private Brooklyn Loft!","Ben","Brooklyn","229"
"Condo Apartment with laundry in unit","Thai","Bronx","90"
"1BR: See Central Park from Terrace!","Hudson","Manhattan","110"
"Private room in cozy Greenpoint","Vanessa","Brooklyn","59"
"Food & Music Dream Apartment in Williamsburg","Daniel","Brooklyn","195"
"French Garden cottage off Bedford","Patty","Brooklyn","169"
"Alcove Studio w/ outdoor Patio Deck","Amir","Manhattan","113"
"Luxury 3 bed/ 2 bath apt in Harlem w/ terrace","G & S","Manhattan","250"
"One Bedroom Mini studio - Free WIFI","Nazleen","Queens","115"
"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn","Allison","Brooklyn","55"
"BROOKLYN > Guest Room w/ King Bed in Williamsburg","Scott","Brooklyn","69"
"Bright Cozy Chinatown Studio Apt.","Patricia","Manhattan","150"
"Eveland the Place to Stay & Enjoy a 5-â­ï¸ 2bdrm","Evelyn","Brooklyn","169"
"Superior @ Box House","The Box House Hotel","Brooklyn","179"
"Hells Kitchen Garden of Eden","Moss Owen","Manhattan","150"
"Historic House Boerum Hill, BK, NYC","Nancy","Brooklyn","135"
"Lovely 3 bedroom in Italianate Brownstone w/garden","Bliss","Brooklyn","350"
"Williamsburg HUGE, PRIVATE BATH - Next to Train!","Pam","Brooklyn","120"
"Cozy room in East Village with AC","Jennifer","Manhattan","71"
"Duplex w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","349"
"Loft w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","349"
"Spacious 3 Bedroom Duplex in Park Slope","Ellis","Brooklyn","165"
"Loft w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","249"
"Columbia Castle in Brooklyn Heights","Christopher","Brooklyn","100"
"Columbia Castle 2 BR","Christopher","Brooklyn","200"
"Charming Artist's Flat, East Village","Sarah","Manhattan","169"
"BEAUTIFUL 2 BEDROOM APARTMENT","Ruthven","Brooklyn","185"
"Brooklyn Cove Studio Apt w/ Garden!!","Julian","Brooklyn","65"
"Ft. Greene garden gem, large and convenient","Leslie","Brooklyn","130"
"Williamsburg penthouse with private roof cabana","Sophie","Brooklyn","199"
"East Village Designer's 1-BR APT","Yvette","Manhattan","225"
"Superior @ Box House","The Box House Hotel","Brooklyn","179"
"So Much Room in Brooklyn","Famous","Brooklyn","150"
"Large Studio--Heart of East Village","Kyle","Manhattan","139"
"Huge.Bright.Clean.Safe. Private Room","Ange","Manhattan","95"
"Garden 1BR/1BA Brownstone Apt - 2 blocks to subway","Alex","Brooklyn","79"
"MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN","T","Manhattan","150"
"The Brooklyn Waverly","Sahr","Brooklyn","650"
"WONDERFUL, COMFORTABLE STUDIO","Marylyn","Brooklyn","90"
"MAISON DES SIRENES 2","Nathalie","Brooklyn","120"
"Modern, Safe, Clean, Bright Room in Astoria for 2","Savannah","Queens","80"
"LARGE 1BR (CONV 2BR) CROWN HEIGHTS","Sadatu","Brooklyn","100"
"The Vernon On Greene","Jason","Brooklyn","175"
"Beautiful, Brightâ€™s, Warm & Spacious 1.5BR Apt","Keishera","Brooklyn","120"
"Lovely 1BR in Tree-lined WBurg","Tessa","Brooklyn","140"
"Spacious Loft in Clinton Hill","Eduardo","Brooklyn","200"
"The Brooklyn Waverly, One Bedroom","Sahr","Brooklyn","165"
"LOVELY APARTMENT IN THE HEART OF NY","Shon","Manhattan","125"
"Groovy NYC Chelsea Pad","Peter Michael","Manhattan","130"
"Comfortable Cozy Space in El Barrio","Liz And Melissa","Manhattan","65"
"Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019","Wanda","Brooklyn","123"
"MANHATTAN Neat, Nice, Bright ROOM","Giorgio","Manhattan","67"
"Bienvenue","","Queens","50"
"Large Brand New Park Slope 1BR","Mi","Brooklyn","130"
"Colorful Artistic Williamsburg Apt","Lee And Tara","Brooklyn","100"
"UWS Brownstone Near Central Park","Chas","Manhattan","212"
"Artsy TopFloor Apt in PRIME BEDFORD Williamsburg","Ade","Brooklyn","190"
"2 BR w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","599"
"BOHEMIAN EAST VILLAGE 2 BED HAVEN","Jason","Manhattan","249"
"Oceanfront Apartment in Rockaway","Michelle","Queens","70"
"Private 1-Bedroom Apt in Townhouse","Alex","Brooklyn","100"
"Bright Room With A Great River View","Alicia","Manhattan","60"
"Tree lined block modern apartment","Olivia","Brooklyn","135"
"Sweet Historic Greenpoint Duplex","Maya","Brooklyn","175"
"Riverside Charm with Fire Place","Kai","Manhattan","120"
"Very Central, Nomad/Chelsea Loft Studio","Driss","Manhattan","169"
"Sunny 3BR Apt Ideal for Family  ","Marine","Brooklyn","165"
"Cozy Private Room in West Harlem!","Kelli","Manhattan","90"
"UES Quiet & Spacious 1 bdrm for 4","Olivia","Manhattan","225"
"ALL ABOUT A VERY COMFORTABLE ROOM..","Carol","Brooklyn","95"
"Brooklyn- Crown Heights Garden Apt.","Anthony","Brooklyn","55"
"Cozy room in Time Square!","Natalia","Manhattan","85"
"Large Park Slope Townhouse Duplex","Susi","Brooklyn","199"
"Lower East Side 2 Bedroom Apt","Tony","Manhattan","211"
"Manhattan Studio, Perfect Location","Andrey","Manhattan","145"
"Sun-Drenched Hamilton Hts Jewel   ","Jane","Manhattan","65"
"Your Stunning Vacation Apartment!","Will","Manhattan","99"
"1 BDRM Apt-Weekend Sublease","Lilly","Queens","110"
"ROOM WITH A  KITCHENETTE","Marylyn","Brooklyn","80"
"Conveniently Located, Sunny Brooklyn Heights!","LuLu","Brooklyn","150"
"Style in Stuyvesant Heights","Roberta","Brooklyn","110"
"Heart of Meatpacking & Chelsea","Paul","Manhattan","290"
"Spacious East Village apt near it all","Bobby","Manhattan","87"
"Williamsburg apartment right by the subway","Itamar","Brooklyn","190"
"Spacious Brooklyn Loft - 2 Bedroom","Vikram","Brooklyn","200"
"Park Slope Apt:, Spacious 2 bedroom","Elizabeth","Brooklyn","165"
"NYC Studio for Rent in Townhouse","Christopher","Manhattan","110"
"âš¡Quiet Gem w/roof deck on NY's Hottest Streetâš¡","Justin","Manhattan","395"
"Authentic New York City Living ","Rodney","Brooklyn","99"
"SUPER BIG AND COZY PRIVATE BEDROOM","AntonÃ­n","Brooklyn","39"
"â˜†Massive DUPLEXâ˜† 2BR & 2BTH East Village 9+ Guests","Seith","Manhattan","189"
"Gorgeous Upper West Side Apartment","Eric","Manhattan","85"
"Luxe, Spacious 2BR 2BA Nr Trains","Katharine","Brooklyn","260"
"City Room - Street View Apt","Wayne","Manhattan","122"
"Cozy and Bright One Bedroom in BK","Lauren","Brooklyn","165"
"Forest Hills Apt minutes to midtown Manhattan","Jean","Queens","97"
"Spacious West Village 1 b/room King","Catherine","Manhattan","170"
"Perfect Williamsburg Summer Haven","Holly","Brooklyn","125"
"Midtown cozy convenient","Tracy","Manhattan","130"
"Prime Williamsburg Apartment","Giovanni","Brooklyn","225"
"Private, spacious room in Brooklyn","Karen","Brooklyn","50"
"Garden apartment close to Manhattan","Christopher","Brooklyn","170"
"The Ground Studio - West Side","Jeff","Manhattan","132"
"Stunning arty 3200sf 3FLR+3BR townhome w/terrace","Irena","Brooklyn","250"
"Sunny and Spacious Designer's Home","Michael","Brooklyn","141"
"Spacious,Sunny, private one bedroom","Jessica","Brooklyn","64"
